id,week,week_start_date,obj_num,flw_get,last_flw_get,height_pl,num_leaf,len_leaf,width_leaf,unit_len,dim_pipe
16,16,2020.12.24 0:00,3,4,7,32,6,10,8,22,18.8
16,16,2020.12.24 0:00,4,4,3,32,11,9,7,16,17.33333333
16,17,2020.12.31 0:00,1,6,6,34,7,11.5,8.5,20,22.25666667
16,17,2020.12.31 0:00,2,6,5,33.4,8,7.3,5.7,14,18.58333333
16,17,2020.12.31 0:00,3,4,4,31.3,6,7.5,5.5,14,19.5
16,17,2020.12.31 0:00,4,6,4,35,12,9,7,17.5,15.96333333
16,18,2021.1.7 0:00,1,5,6,34,7,11.5,8.5,20,15.49666667
16,18,2021.1.7 0:00,2,4,6,35.5,10,7,5.5,15,21.5
16,18,2021.1.7 0:00,3,5,4,31,7,7.5,5.5,13,18.31666667
16,18,2021.1.7 0:00,4,6,6,34,12,6.5,6.5,12,21.79666667
16,19,2021.1.14 0:00,1,8,5,33,7,11,8.5,20,15.72333333
16,19,2021.1.14 0:00,2,4,4,35,11,7.2,6,14.5,22.12666667
16,19,2021.1.14 0:00,3,2,5,32,9,6,5,13,18.11333333
16,19,2021.1.14 0:00,4,4,6,35,14,7.4,6.5,12,21
16,20,2021.1.21 0:00,1,8,8,33.5,8,6.5,4.5,10,18.96666667
16,20,2021.1.21 0:00,2,3,4,32,11,6.5,5.5,15,22.2
16,20,2021.1.21 0:00,3,5,2,29,8,6.2,5,13.5,19.85666667
16,20,2021.1.21 0:00,4,8,4,31,12,7,6,13,17.05
16,21,2021.1.28 0:00,1,8,8,34.5,8,7,4.5,11.5,18.91
16,21,2021.1.28 0:00,2,5,3,34,13,6,5.5,12.5,20.65333333
16,21,2021.1.28 0:00,3,3,5,29.5,11,6.8,5.2,14,21.73333333
16,21,2021.1.28 0:00,4,14,8,34,19,7.5,6.5,13,20.86333333
16,22,2021.2.4 0:00,1,8,8,32,9,7,4.8,11.5,23.87666667
16,22,2021.2.4 0:00,2,9,5,33,12,7,6,14,20.58666667
16,22,2021.2.4 0:00,3,10,3,23,14,6.5,5,14.5,24.19
16,22,2021.2.4 0:00,4,22,14,30.5,20,7.5,6.5,14.5,20.40666667
16,23,2021.2.11 0:00,1,9,8,33,10,7,6,11.5,23.72333333
16,23,2021.2.11 0:00,2,14,9,33,19,7.5,6.5,15,21.61333333
16,23,2021.2.11 0:00,3,4,10,26,14,6,5.6,16,25.98333333
16,23,2021.2.11 0:00,4,17,22,31,23,7.2,5,15.5,20.40333333
16,24,2021.2.18 0:00,1,11,9,30,12,7.5,6.5,16,26.14333333
16,24,2021.2.18 0:00,2,16,14,33,18,8,6.5,16,27.78
16,24,2021.2.18 0:00,3,7,4,30,16,7.2,5.8,17,27.05666667
16,24,2021.2.18 0:00,4,20,17,30,22,8,6.7,16,24.79666667
16,25,2021.2.25 0:00,1,11,11,26,9,7.2,6.4,13.5,24.11666667
16,25,2021.2.25 0:00,2,19,16,29.5,20,8,6.8,18,28.62
16,25,2021.2.25 0:00,3,8,7,31,11,6.5,5.5,11.5,28.75666667
16,25,2021.2.25 0:00,4,19,20,27,17,8,6.5,15,25.70666667
16,26,2021.3.4 0:00,1,9,11,26,10,6.4,7.4,14,23.12
16,26,2021.3.4 0:00,2,21,19,30,22,7.8,6.6,18,33.81333333
16,26,2021.3.4 0:00,3,10,8,34,12,7.2,5.7,19,31.02333333
16,26,2021.3.4 0:00,4,20,19,29,17,8,5.8,15,25.47333333
16,27,2021.3.11 0:00,1,9,9,27,9,8,6.8,18,33.86333333
16,27,2021.3.11 0:00,2,16,21,30,21,8,7,17,26.24
16,27,2021.3.11 0:00,3,10,10,37,13,7.8,6.7,18.5,20.04666667
16,27,2021.3.11 0:00,4,20,20,31,18,8,7.8,15,35.16
16,28,2021.3.18 0:00,1,8,9,26,9,7.5,5,15,18.06333333
16,28,2021.3.18 0:00,2,15,16,32,18,8.2,6,17,33.85666667
16,28,2021.3.18 0:00,3,10,10,40,12,7.5,5.8,19,34.33666667
16,28,2021.3.18 0:00,4,15,20,30,15,7.4,5.2,15.5,25.95
16,29,2021.3.25 0:00,1,8,8,27,10,7.5,6.2,14.5,18.88
16,29,2021.3.25 0:00,2,11,15,32,18,8.2,6.2,18,27.93666667
16,29,2021.3.25 0:00,3,5,10,40,12,7.5,6.6,24,30.80333333
16,29,2021.3.25 0:00,4,9,15,31,16,8,6,16.5,25.25333333
16,30,2021.4.1 0:00,1,6,8,30,9,8,6.5,17.5,25.02
16,30,2021.4.1 0:00,2,5,11,32,17,8,6.5,17.8,19.62333333
16,30,2021.4.1 0:00,3,3,5,40,12,8.5,6.5,20,21.45333333
16,30,2021.4.1 0:00,4,4,9,30,18,9,7,19.5,16.24333333
20,4,2020.10.4 0:00,1,0,,30,3,10.6,8.6,17.8,13.24
20,4,2020.10.4 0:00,2,0,,26.3,3,7,4.3,10.6,12.08
20,4,2020.10.4 0:00,3,0,,24,3,5.8,4.5,16.8,9.49
20,4,2020.10.4 0:00,4,0,,30,4,12.1,8.3,16.3,12.88
20,5,2020.10.11 0:00,1,0,0,30.2,4,13,8.9,13,14.93
20,5,2020.10.11 0:00,2,0,0,26.6,3,12.5,9.1,12,13.68
20,5,2020.10.11 0:00,3,0,0,20.1,3,5.8,4.2,12,9.83
20,5,2020.10.11 0:00,4,0,0,30.2,5,14.2,9.7,14.3,14.81
20,6,2020.10.18 0:00,1,0,0,31.4,4,13.1,9,13,16.42
20,6,2020.10.18 0:00,2,0,0,26.7,4,12.8,8.5,9.6,14.94
20,6,2020.10.18 0:00,3,0,0,20,4,6.3,4.8,12.2,11.14
20,6,2020.10.18 0:00,4,0,0,30.7,5,14.4,10,14.3,16.14
20,7,2020.10.25 0:00,1,0,0,32.3,4,13.8,10.3,16,17.97
20,7,2020.10.25 0:00,2,0,0,28,5,12.7,9.2,13,16.15
20,7,2020.10.25 0:00,3,0,0,20,5,8.8,7.5,7.5,11.79
20,7,2020.10.25 0:00,4,0,0,31.2,5,13.3,11.2,15.5,17.22
20,8,2020.11.1 0:00,1,0,0,32.3,5,15.1,9.4,13.5,19.21
20,8,2020.11.1 0:00,2,0,0,28,5,13.3,9.2,12.5,18.95
20,8,2020.11.1 0:00,3,0,0,31.4,6,15.8,11.2,13,18.89
20,8,2020.11.1 0:00,4,0,0,31.9,5,13.6,11.2,15.7,19.03
20,9,2020.11.8 0:00,1,0,0,32.5,5,15.3,10,13.5,19.37
20,9,2020.11.8 0:00,2,0,0,29.1,5,13.7,9.5,14.1,19.45
20,9,2020.11.8 0:00,3,0,0,31.6,6,16.1,11.3,13,19.32
20,9,2020.11.8 0:00,4,0,0,32,6,13.3,10.6,14.2,19.94
20,10,2020.11.15 0:00,1,7,0,32.5,6,13,9.2,15.6,20.52
20,10,2020.11.15 0:00,2,5,0,29.5,6,10.8,8.3,13.2,19.96
20,10,2020.11.15 0:00,3,7,0,32.7,7,14.6,11.7,14.5,21.64
20,10,2020.11.15 0:00,4,7,0,32.5,6,13.7,10.6,14.6,21.84
20,11,2020.11.22 0:00,1,9,7,31.5,6,12.6,8.7,18.5,21.44
20,11,2020.11.22 0:00,2,8,5,29.2,7,12.7,7.5,13.2,20.23
20,11,2020.11.22 0:00,3,9,7,33.2,7,12.5,8.6,15.1,21.81
20,11,2020.11.22 0:00,4,8,7,32.5,7,12.8,9.2,15.2,22.45
20,12,2020.11.29 0:00,1,10,9,33.7,7,12.7,8.8,18.9,21.48
20,12,2020.11.29 0:00,2,10,8,30.5,7,12.7,7.6,15.2,20.52
20,12,2020.11.29 0:00,3,9,9,33.5,7,12.6,8.7,15.7,21.97
20,12,2020.11.29 0:00,4,8,8,32.9,7,12.9,9.3,15.9,22.48
20,13,2020.12.6 0:00,1,12,10,34.3,7,12.5,8.7,19.4,22.25
20,13,2020.12.6 0:00,2,11,10,31.2,7,12.6,7.9,15.8,20.87
20,13,2020.12.6 0:00,3,9,9,33.5,7,12.6,9,16.1,21.95
20,13,2020.12.6 0:00,4,8,8,32.9,8,11.7,8.9,18,23.01
20,14,2020.12.13 0:00,1,9,12,34.5,7,12.5,8.7,19.7,22.51
20,14,2020.12.13 0:00,2,9,11,31.5,8,12.7,7.9,15.7,20.96
20,14,2020.12.13 0:00,3,8,9,33.5,8,10.2,8.2,16.2,22.21
20,14,2020.12.13 0:00,4,6,8,33,8,12.1,8.9,18.2,23.28
20,15,2020.12.20 0:00,1,9,9,34.5,5,12.5,8.7,19.7,19.72
20,15,2020.12.20 0:00,2,10,9,31.7,6,12.7,7.9,15.7,20.26
20,15,2020.12.20 0:00,3,6,8,33.6,7,10.4,8.5,17.5,21.24
20,15,2020.12.20 0:00,4,6,6,33.1,7,12.1,8.9,18.2,22.32
