도,시군,품목,작기,농가명,조사일자,개체번호,줄기번호,초장,생장길이,엽수,엽장,엽폭,줄기굵기,화방높이,화방번호,화방별꽃수,화방별개화수,화방별착과수,개화군,착과군
강원,평창,완숙토마토,1,006,2020-06-03,4,1,122.0,18.0,12,46.0,44.0,13.26,6.0,4,4,,,3.25,3.00
강원,평창,완숙토마토,1,006,2020-06-10,1,1,124.5,10.0,14,33.0,40.0,9.66,14.0,5,7,,,3.89,3.10
강원,평창,완숙토마토,1,006,2020-06-10,2,1,134.0,17.0,13,36.5,34.0,14.38,22.5,5,5,,,5.00,4.07
강원,평창,완숙토마토,1,006,2020-06-10,3,1,133.0,15.0,16,19.0,48.0,13.60,11.0,5,6,,,4.17,3.50
강원,평창,완숙토마토,1,006,2020-06-10,4,1,138.5,16.5,16,38.0,42.0,9.44,9.5,5,5,,,4.20,3.50
강원,평창,완숙토마토,1,006,2020-06-17,1,1,155.0,30.5,14,34.0,42.0,10.25,5.5,6,11,,,5.05,4.17
강원,평창,완숙토마토,1,006,2020-06-17,2,1,164.5,30.5,15,36.0,34.0,11.97,7.0,7,5,,,5.70,5.25
강원,평창,완숙토마토,1,006,2020-06-17,3,1,162.0,29.0,15,34.0,30.0,6.83,12.5,6,6,,,4.88,4.00
강원,평창,완숙토마토,1,006,2020-06-17,4,1,167.0,28.5,15,35.0,32.0,7.95,15.5,6,6,,,5.33,4.60
강원,평창,완숙토마토,1,006,2020-06-24,1,1,174.5,19.5,13,34.0,36.0,11.33,33.0,7,7,,,5.75,5.17
강원,평창,완숙토마토,1,006,2020-06-24,2,1,189.5,25.0,15,41.0,39.0,10.58,26.0,8,5,,,6.88,5.90
강원,평창,완숙토마토,1,006,2020-06-24,3,1,183.0,21.0,18,34.0,26.0,8.22,12.0,7,5,,,6.43,5.12
강원,평창,완숙토마토,1,006,2020-06-24,4,1,192.0,25.0,17,44.0,39.0,11.70,10.5,7,5,,,5.70,5.33
강원,평창,완숙토마토,1,006,2020-07-01,1,1,188.5,14.0,16,43.0,33.0,3.27,13.0,7,7,,,6.75,5.92
강원,평창,완숙토마토,1,006,2020-07-01,2,1,208.5,19.0,17,40.0,33.0,3.62,16.0,8,5,,,7.80,6.80
강원,평창,완숙토마토,1,006,2020-07-01,3,1,206.5,23.5,18,42.0,28.0,4.11,6.5,8,4,,,7.50,6.40
강원,평창,완숙토마토,1,006,2020-07-01,4,1,216.0,24.0,16,45.0,52.0,3.66,28.5,7,5,,,6.80,6.40
강원,평창,완숙토마토,1,006,2020-07-08,1,1,200.0,11.5,15,42.0,34.0,4.75,4.5,8,4,,,7.36,6.86
강원,평창,완숙토마토,1,006,2020-07-08,2,1,222.5,14.0,14,38.5,32.0,5.22,7.5,9,4,,,8.75,7.80
강원,평창,완숙토마토,1,006,2020-07-08,3,1,225.5,19.0,15,46.0,42.0,8.64,20.5,8,4,,,8.00,7.50
강원,평창,완숙토마토,1,006,2020-07-08,4,1,236.0,20.0,15,41.0,36.0,8.91,16.5,8,4,,,8.00,7.80
강원,평창,완숙토마토,1,006,2020-07-15,1,1,220.0,20.0,15,39.0,39.0,10.15,19.0,8,4,,,7.50,7.25
강원,평창,완숙토마토,1,006,2020-07-15,2,1,242.5,20.0,14,42.0,38.0,8.73,24.0,9,4,,,9.00,8.50
강원,평창,완숙토마토,1,006,2020-07-15,3,1,245.5,20.0,17,41.0,36.0,7.16,12.0,9,4,,,8.75,8.00
강원,평창,완숙토마토,1,006,2020-07-15,4,1,255.5,19.5,18,42.0,32.0,6.24,8.0,9,3,,,8.67,8.00
강원,평창,완숙토마토,1,006,2020-07-22,1,1,240.0,20.0,15,43.0,42.0,11.82,14.0,8,3,,,8.00,8.00
강원,평창,완숙토마토,1,006,2020-07-22,2,1,268.5,26.0,14,44.0,39.0,9.04,20.0,10,4,,,9.75,9.00
강원,평창,완숙토마토,1,006,2020-07-22,3,1,268.5,23.0,16,46.0,46.0,6.66,10.0,10,4,,,9.50,8.75
강원,평창,완숙토마토,1,006,2020-07-22,4,1,273.5,18.0,17,48.0,43.0,4.30,7.0,10,4,,,9.25,8.67
강원,평창,완숙토마토,1,006,2020-07-29,1,1,254.0,14.0,17,44.0,46.0,5.32,6.0,9,4,,,8.25,8.00
강원,평창,완숙토마토,1,006,2020-07-29,2,1,288.5,20.0,18,44.0,42.0,6.96,8.5,10,4,,,10.00,9.75
강원,평창,완숙토마토,1,006,2020-07-29,3,1,284.0,15.5,16,46.0,44.0,8.55,23.0,10,3,,,10.00,9.67
강원,평창,완숙토마토,1,006,2020-07-29,4,1,287.5,14.0,17,45.0,24.0,7.86,13.0,10,4,,,9.75,9.00
강원,평창,완숙토마토,1,006,2020-08-05,1,1,270.0,16.0,17,37.0,38.0,10.11,18.0,9,4,,,8.25,8.00
강원,평창,완숙토마토,1,006,2020-08-05,2,1,309.5,21.0,18,45.0,44.0,8.84,27.0,11,5,,,10.80,10.00
강원,평창,완숙토마토,1,006,2020-08-05,3,1,304.0,20.0,20,45.0,46.0,9.86,42.0,10,3,,,10.00,10.00
강원,평창,완숙토마토,1,006,2020-08-05,4,1,307.5,20.0,20,42.0,35.0,7.44,8.0,11,4,,,10.00,9.75
강원,평창,완숙토마토,1,006,2020-08-12,1,1,293.0,23.0,17,44.0,46.0,10.33,40.0,9,4,,,8.25,8.25
