id,week,week_start_date,obj_num,flw_get,week_sin,week_cos,last_flw_get,height_pl,num_leaf,len_leaf,width_leaf,unit_len,dim_pipe,temp_ex_day,temp_ex_night,sr_ex_day,temp_int_day,temp_int_night,hum_int_day,hum_int_night,CO2_day,CO2_night,soil_temp_day,soil_temp_night
26,16,2020-12-23 0:00,1,3,-0.663122658240795,-0.7485107481711013,2.0,32.2,5,11.1,8.5,19.5,18.76,2.8503896103896103,-2.445604395604396,0.7157012987012986,15.618051948051953,9.299529042386183,79.27002435064935,90.44551328774726,552.364935064935,723.199372056515,14.568181818181817,13.16648351648352
26,16,2020-12-23 0:00,2,2,-0.663122658240795,-0.7485107481711013,2.0,30.6,7,10.3,8.4,16.5,19.58,2.8503896103896103,-2.445604395604396,0.7157012987012986,15.618051948051953,9.299529042386183,79.27002435064935,90.44551328774726,552.364935064935,723.199372056515,14.568181818181817,13.16648351648352
26,16,2020-12-23 0:00,3,3,-0.663122658240795,-0.7485107481711013,6.0,33.1,7,12.5,9.3,17.6,17.68,2.8503896103896103,-2.445604395604396,0.7157012987012986,15.618051948051953,9.299529042386183,79.27002435064935,90.44551328774726,552.364935064935,723.199372056515,14.568181818181817,13.16648351648352
26,16,2020-12-23 0:00,4,5,-0.663122658240795,-0.7485107481711013,6.0,40.5,6,10.4,7.7,20.2,20.56,2.8503896103896103,-2.445604395604396,0.7157012987012986,15.618051948051953,9.299529042386183,79.27002435064935,90.44551328774726,552.364935064935,723.199372056515,14.568181818181817,13.16648351648352
26,17,2020-12-30 0:00,1,2,-0.8229838658936564,-0.5680647467311559,3.0,32.2,5,11.2,8.5,19.5,19.2,-1.8772727272727272,-6.0498430141287285,0.8945974025974025,13.91077922077922,7.463854003139717,74.96610389610389,87.75759699482731,568.1363636363636,751.1734693877552,12.902727272727272,11.41263736263736
26,17,2020-12-30 0:00,2,4,-0.8229838658936564,-0.5680647467311559,2.0,30.6,7,10.5,8.5,16.5,20.05,-1.8772727272727272,-6.0498430141287285,0.8945974025974025,13.91077922077922,7.463854003139717,74.96610389610389,87.75759699482731,568.1363636363636,751.1734693877552,12.902727272727272,11.41263736263736
26,17,2020-12-30 0:00,3,3,-0.8229838658936564,-0.5680647467311559,3.0,33.3,8,10.6,8.3,19.8,17.53,-1.8772727272727272,-6.0498430141287285,0.8945974025974025,13.91077922077922,7.463854003139717,74.96610389610389,87.75759699482731,568.1363636363636,751.1734693877552,12.902727272727272,11.41263736263736
26,17,2020-12-30 0:00,4,5,-0.8229838658936564,-0.5680647467311559,5.0,40.7,6,10.8,7.8,20.3,21.59,-1.8772727272727272,-6.0498430141287285,0.8945974025974025,13.91077922077922,7.463854003139717,74.96610389610389,87.75759699482731,568.1363636363636,751.1734693877552,12.902727272727272,11.41263736263736
26,18,2021-01-06 0:00,1,3,-0.9350162426854147,-0.3546048870425359,2.0,32.4,6,9.4,8.1,19.2,20.31,-6.1392207792207785,-12.117974882260595,0.941194805194805,13.385454545454548,7.143720565149136,75.3457142857143,87.17590266875982,609.8597402597403,815.0400313971742,12.49038961038961,10.87087912087912
26,18,2021-01-06 0:00,2,5,-0.9350162426854147,-0.3546048870425359,4.0,31.0,7,10.6,8.5,19.0,19.89,-6.1392207792207785,-12.117974882260595,0.941194805194805,13.385454545454548,7.143720565149136,75.3457142857143,87.17590266875982,609.8597402597403,815.0400313971742,12.49038961038961,10.87087912087912
26,18,2021-01-06 0:00,3,5,-0.9350162426854147,-0.3546048870425359,3.0,33.5,8,9.9,7.7,19.4,17.42,-6.1392207792207785,-12.117974882260595,0.941194805194805,13.385454545454548,7.143720565149136,75.3457142857143,87.17590266875982,609.8597402597403,815.0400313971742,12.49038961038961,10.87087912087912
26,18,2021-01-06 0:00,4,9,-0.9350162426854147,-0.3546048870425359,5.0,41.0,7,10.1,7.3,18.2,21.93,-6.1392207792207785,-12.117974882260595,0.941194805194805,13.385454545454548,7.143720565149136,75.3457142857143,87.17590266875982,609.8597402597403,815.0400313971742,12.49038961038961,10.87087912087912
26,19,2021-01-13 0:00,1,3,-0.992708874098054,-0.12053668025532357,3.0,32.4,6,11.4,8.6,19.7,20.86,2.425844155844156,-3.666012558869702,0.9364415584415584,15.404675324675324,7.850156985871272,65.5483116883117,81.69285714285715,632.1441558441558,789.298273155416,13.962337662337664,12.363343799058084
26,19,2021-01-13 0:00,2,6,-0.992708874098054,-0.12053668025532357,5.0,31.2,7,10.7,8.6,19.1,20.94,2.425844155844156,-3.666012558869702,0.9364415584415584,15.404675324675324,7.850156985871272,65.5483116883117,81.69285714285715,632.1441558441558,789.298273155416,13.962337662337664,12.363343799058084
