도,시군,품목,작기,농가명,출하일자,총출하량,판매금액
경남,산청,딸기,1,52,2020-12-18,4.0,48000.0
경남,산청,딸기,1,52,2020-12-18,1.0,18000.0
경남,산청,딸기,1,52,2020-12-18,4.0,72000.0
경남,산청,딸기,1,52,2020-12-19,90.0,990000.0
경남,산청,딸기,1,52,2020-12-19,30.0,195000.0
경남,산청,딸기,1,52,2020-12-19,112.0,1288000.0
경남,산청,딸기,1,52,2020-12-19,30.0,405000.0
경남,산청,딸기,1,52,2020-12-21,1.0,19000.0
경남,산청,딸기,1,52,2020-12-21,2.0,38000.0
경남,산청,딸기,1,52,2020-12-21,1.0,13000.0
경남,산청,딸기,1,52,2020-12-21,1.0,16000.0
경남,산청,딸기,1,52,2020-12-21,1.0,22000.0
경남,산청,딸기,1,52,2020-12-21,2.0,44000.0
경남,산청,딸기,1,52,2020-12-21,70.0,770000.0
경남,산청,딸기,1,52,2020-12-21,20.0,120000.0
경남,산청,딸기,1,52,2020-12-21,70.0,770000.0
경남,산청,딸기,1,52,2020-12-21,70.0,910000.0
경남,산청,딸기,1,52,2020-12-21,12.0,228000.0
경남,산청,딸기,1,52,2020-12-21,1.0,16000.0
경남,산청,딸기,1,52,2020-12-21,2.0,44000.0
경남,산청,딸기,1,52,2020-12-21,1.0,12000.0
경남,산청,딸기,1,52,2020-12-21,1.0,18000.0
경남,산청,딸기,1,52,2020-12-21,2.0,36000.0
경남,산청,딸기,1,52,2020-12-22,1.0,19000.0
경남,산청,딸기,1,52,2020-12-22,1.0,16000.0
경남,산청,딸기,1,52,2020-12-22,1.0,22000.0
경남,산청,딸기,1,52,2020-12-22,2.0,44000.0
경남,산청,딸기,1,52,2020-12-22,30.0,405000.0
경남,산청,딸기,1,52,2020-12-22,20.0,130000.0
경남,산청,딸기,1,52,2020-12-22,50.0,775000.0
경남,산청,딸기,1,52,2020-12-22,30.0,405000.0
경남,산청,딸기,1,52,2020-12-22,3.0,57000.0
경남,산청,딸기,1,52,2020-12-22,4.0,64000.0
경남,산청,딸기,1,52,2020-12-22,2.0,44000.0
경남,산청,딸기,1,52,2020-12-22,1.0,15000.0
경남,산청,딸기,1,52,2020-12-22,2.0,30000.0
경남,산청,딸기,1,52,2020-12-22,2.0,24000.0
경남,산청,딸기,1,52,2020-12-22,1.0,18000.0
경남,산청,딸기,1,52,2020-12-23,1.0,19000.0
경남,산청,딸기,1,52,2020-12-23,2.0,38000.0
경남,산청,딸기,1,52,2020-12-23,1.0,16000.0
경남,산청,딸기,1,52,2020-12-23,2.0,32000.0
경남,산청,딸기,1,52,2020-12-23,1.0,22000.0
경남,산청,딸기,1,52,2020-12-23,38.0,684000.0
경남,산청,딸기,1,52,2020-12-23,22.0,198000.0
경남,산청,딸기,1,52,2020-12-23,56.0,924000.0
경남,산청,딸기,1,52,2020-12-23,40.0,620000.0
경남,산청,딸기,1,52,2020-12-23,8.0,152000.0
경남,산청,딸기,1,52,2020-12-23,1.0,16000.0
경남,산청,딸기,1,52,2020-12-23,1.0,18000.0
경남,산청,딸기,1,52,2020-12-23,2.0,36000.0
경남,산청,딸기,1,52,2020-12-24,38.0,513000.0
경남,산청,딸기,1,52,2020-12-24,12.0,108000.0
경남,산청,딸기,1,52,2020-12-24,40.0,520000.0
경남,산청,딸기,1,52,2020-12-24,80.0,1440000.0
경남,산청,딸기,1,52,2020-12-24,2.0,24000.0
경남,산청,딸기,1,52,2020-12-25,36.0,378000.0
경남,산청,딸기,1,52,2020-12-25,10.0,65000.0
경남,산청,딸기,1,52,2020-12-25,40.0,360000.0
경남,산청,딸기,1,52,2020-12-25,40.0,560000.0
경남,산청,딸기,1,52,2020-12-26,42.0,525000.0
경남,산청,딸기,1,52,2020-12-26,14.0,98000.0
경남,산청,딸기,1,52,2020-12-26,42.0,420000.0
경남,산청,딸기,1,52,2020-12-26,56.0,840000.0
경남,산청,딸기,1,52,2020-12-28,1.0,15000.0
경남,산청,딸기,1,52,2020-12-28,2.0,30000.0
경남,산청,딸기,1,52,2020-12-28,1.0,12000.0
경남,산청,딸기,1,52,2020-12-28,2.0,24000.0
경남,산청,딸기,1,52,2020-12-28,1.0,18000.0
경남,산청,딸기,1,52,2020-12-28,2.0,36000.0
경남,산청,딸기,1,52,2020-12-28,40.0,360000.0
경남,산청,딸기,1,52,2020-12-28,10.0,40000.0
경남,산청,딸기,1,52,2020-12-28,40.0,280000.0
경남,산청,딸기,1,52,2020-12-28,50.0,600000.0
경남,산청,딸기,1,52,2020-12-28,7.0,98000.0
경남,산청,딸기,1,52,2020-12-28,1.0,12000.0
경남,산청,딸기,1,52,2020-12-28,2.0,36000.0
경남,산청,딸기,1,52,2020-12-28,1.0,15000.0
경남,산청,딸기,1,52,2020-12-28,1.0,12000.0
경남,산청,딸기,1,52,2020-12-28,1.0,18000.0
경남,산청,딸기,1,52,2020-12-29,1.0,15000.0
경남,산청,딸기,1,52,2020-12-29,2.0,30000.0
경남,산청,딸기,1,52,2020-12-29,1.0,12000.0
경남,산청,딸기,1,52,2020-12-29,1.0,15000.0
경남,산청,딸기,1,52,2020-12-29,1.0,18000.0
경남,산청,딸기,1,52,2020-12-29,2.0,36000.0
경남,산청,딸기,1,52,2020-12-29,10.0,85000.0
경남,산청,딸기,1,52,2020-12-29,10.0,35000.0
경남,산청,딸기,1,52,2020-12-29,20.0,150000.0
경남,산청,딸기,1,52,2020-12-29,70.0,805000.0
경남,산청,딸기,1,52,2020-12-29,1.0,14000.0
경남,산청,딸기,1,52,2020-12-29,1.0,12000.0
경남,산청,딸기,1,52,2020-12-29,1.0,15000.0
