도,시군,품목,작기,농가명,출하일자,총출하량,판매금액
강원,철원,파프리카,1,005,2020-07-13,1008.0,
강원,철원,파프리카,1,005,2020-07-13,1218.0,
강원,철원,파프리카,1,005,2020-07-16,1008.0,
강원,철원,파프리카,1,005,2020-07-16,1008.0,
강원,철원,파프리카,1,005,2020-07-16,1008.0,
강원,철원,파프리카,1,005,2020-07-17,1029.0,
강원,철원,파프리카,1,005,2020-07-17,1008.0,
강원,철원,파프리카,1,005,2020-07-17,1008.0,
강원,철원,파프리카,1,005,2020-07-17,1008.0,
강원,철원,파프리카,1,005,2020-07-18,724.5,
강원,철원,파프리카,1,005,2020-07-20,1008.0,
강원,철원,파프리카,1,005,2020-07-20,1008.0,
강원,철원,파프리카,1,005,2020-07-21,588.0,
강원,철원,파프리카,1,005,2020-07-21,504.0,
강원,철원,파프리카,1,005,2020-07-21,567.0,
강원,철원,파프리카,1,005,2020-07-21,504.0,
강원,철원,파프리카,1,005,2020-07-21,567.0,
강원,철원,파프리카,1,005,2020-07-21,1008.0,
강원,철원,파프리카,1,005,2020-07-21,1008.0,
강원,철원,파프리카,1,005,2020-07-21,1060.5,
강원,철원,파프리카,1,005,2020-07-24,1008.0,
강원,철원,파프리카,1,005,2020-07-24,1008.0,
강원,철원,파프리카,1,005,2020-07-24,924.0,
강원,철원,파프리카,1,005,2020-07-24,1008.0,
강원,철원,파프리카,1,005,2020-07-24,304.5,
강원,철원,파프리카,1,005,2020-07-27,504.0,
강원,철원,파프리카,1,005,2020-07-27,504.0,
강원,철원,파프리카,1,005,2020-07-27,504.0,
강원,철원,파프리카,1,005,2020-07-27,294.0,
강원,철원,파프리카,1,005,2020-07-28,504.0,
강원,철원,파프리카,1,005,2020-07-28,504.0,
강원,철원,파프리카,1,005,2020-07-28,504.0,
강원,철원,파프리카,1,005,2020-07-28,504.0,
강원,철원,파프리카,1,005,2020-07-28,619.5,
강원,철원,파프리카,1,005,2020-07-28,504.0,
강원,철원,파프리카,1,005,2020-07-31,504.0,
강원,철원,파프리카,1,005,2020-07-31,504.0,
강원,철원,파프리카,1,005,2020-07-31,357.0,
강원,철원,파프리카,1,005,2020-07-31,609.0,
강원,철원,파프리카,1,005,2020-07-31,504.0,
강원,철원,파프리카,1,005,2020-07-31,210.0,
강원,철원,파프리카,1,005,2020-08-05,504.0,
강원,철원,파프리카,1,005,2020-08-05,504.0,
강원,철원,파프리카,1,005,2020-08-05,189.0,
강원,철원,파프리카,1,005,2020-08-05,504.0,
강원,철원,파프리카,1,005,2020-08-06,630.0,
강원,철원,파프리카,1,005,2020-08-06,588.0,
강원,철원,파프리카,1,005,2020-08-10,504.0,
강원,철원,파프리카,1,005,2020-08-10,262.5,
강원,철원,파프리카,1,005,2020-08-10,378.0,
강원,철원,파프리카,1,005,2020-08-10,241.5,
강원,철원,파프리카,1,005,2020-08-13,283.5,
강원,철원,파프리카,1,005,2020-08-13,178.5,
강원,철원,파프리카,1,005,2020-08-18,273.0,
강원,철원,파프리카,1,005,2020-08-18,388.5,
강원,철원,파프리카,1,005,2020-08-18,252.0,
강원,철원,파프리카,1,005,2020-08-21,367.5,
강원,철원,파프리카,1,005,2020-08-21,504.0,
강원,철원,파프리카,1,005,2020-08-21,504.0,
강원,철원,파프리카,1,005,2020-08-21,504.0,
강원,철원,파프리카,1,005,2020-08-24,504.0,
강원,철원,파프리카,1,005,2020-08-24,504.0,
강원,철원,파프리카,1,005,2020-08-24,504.0,
강원,철원,파프리카,1,005,2020-08-24,378.0,
강원,철원,파프리카,1,005,2020-08-24,357.0,
강원,철원,파프리카,1,005,2020-08-24,504.0,
강원,철원,파프리카,1,005,2020-08-24,504.0,
강원,철원,파프리카,1,005,2020-08-25,504.0,
강원,철원,파프리카,1,005,2020-08-25,504.0,
강원,철원,파프리카,1,005,2020-08-25,504.0,
강원,철원,파프리카,1,005,2020-08-25,504.0,
강원,철원,파프리카,1,005,2020-08-25,504.0,
강원,철원,파프리카,1,005,2020-08-25,504.0,
강원,철원,파프리카,1,005,2020-08-25,504.0,
강원,철원,파프리카,1,005,2020-08-25,378.0,
강원,철원,파프리카,1,005,2020-08-28,504.0,
강원,철원,파프리카,1,005,2020-08-28,504.0,
강원,철원,파프리카,1,005,2020-08-28,630.0,
강원,철원,파프리카,1,005,2020-08-28,630.0,
강원,철원,파프리카,1,005,2020-08-29,504.0,
강원,철원,파프리카,1,005,2020-08-29,504.0,
강원,철원,파프리카,1,005,2020-08-29,504.0,
강원,철원,파프리카,1,005,2020-08-29,504.0,
강원,철원,파프리카,1,005,2020-08-29,504.0,
강원,철원,파프리카,1,005,2020-08-29,378.0,
강원,철원,파프리카,1,005,2020-09-02,504.0,
강원,철원,파프리카,1,005,2020-09-02,504.0,
강원,철원,파프리카,1,005,2020-09-02,504.0,
강원,철원,파프리카,1,005,2020-09-02,504.0,
강원,철원,파프리카,1,005,2020-09-03,504.0,
강원,철원,파프리카,1,005,2020-09-03,504.0,
강원,철원,파프리카,1,005,2020-09-03,378.0,
강원,철원,파프리카,1,005,2020-09-03,262.5,
강원,철원,파프리카,1,005,2020-09-03,1008.0,
강원,철원,파프리카,1,005,2020-09-04,1260.0,
강원,철원,파프리카,1,005,2020-09-04,1260.0,
강원,철원,파프리카,1,005,2020-09-07,1008.0,
강원,철원,파프리카,1,005,2020-09-07,1008.0,
강원,철원,파프리카,1,005,2020-09-08,315.0,
강원,철원,파프리카,1,005,2020-09-08,997.5,
강원,철원,파프리카,1,005,2020-09-14,1123.5,
강원,철원,파프리카,1,005,2020-09-15,672.0,
강원,철원,파프리카,1,005,2020-09-21,714.0,
강원,철원,파프리카,1,005,2020-09-21,619.5,
강원,철원,파프리카,1,005,2020-09-28,1008.0,
강원,철원,파프리카,1,005,2020-09-28,252.0,
강원,철원,파프리카,1,005,2020-09-28,409.5,
강원,철원,파프리카,1,005,2020-09-29,703.5,
강원,철원,파프리카,1,005,2020-10-05,1008.0,
강원,철원,파프리카,1,005,2020-10-05,840.0,
강원,철원,파프리카,1,005,2020-10-06,1092.0,
강원,철원,파프리카,1,005,2020-10-09,630.0,
강원,철원,파프리카,1,005,2020-10-09,577.5,
강원,철원,파프리카,1,005,2020-10-09,630.0,
강원,철원,파프리카,1,005,2020-10-13,1071.0,
강원,철원,파프리카,1,005,2020-10-13,1008.0,
강원,철원,파프리카,1,005,2020-10-13,1008.0,
강원,철원,파프리카,1,005,2020-10-14,1060.5,
강원,철원,파프리카,1,005,2020-10-14,1060.5,
강원,철원,파프리카,1,005,2020-10-16,1008.0,
강원,철원,파프리카,1,005,2020-10-16,682.5,
강원,철원,파프리카,1,005,2020-10-16,1008.0,
강원,철원,파프리카,1,005,2020-10-16,1008.0,
강원,철원,파프리카,1,005,2020-10-16,430.5,
강원,철원,파프리카,1,005,2020-10-19,1260.0,
강원,철원,파프리카,1,005,2020-10-20,399.0,
강원,철원,파프리카,1,005,2020-10-20,504.0,
강원,철원,파프리카,1,005,2020-10-20,913.5,
강원,철원,파프리카,1,005,2020-10-20,430.5,
강원,철원,파프리카,1,005,2020-10-24,420.0,
강원,철원,파프리카,1,005,2020-10-24,1008.0,
강원,철원,파프리카,1,005,2020-10-24,1018.5,
강원,철원,파프리카,1,005,2020-10-28,819.0,
강원,철원,파프리카,1,005,2020-10-28,661.5,
강원,철원,파프리카,1,005,2020-10-28,661.5,
강원,철원,파프리카,1,005,2020-11-05,1008.0,
강원,철원,파프리카,1,005,2020-11-06,1134.0,
강원,철원,파프리카,1,005,2020-11-06,451.5,
강원,철원,파프리카,1,005,2020-11-11,1008.0,
강원,철원,파프리카,1,005,2020-11-12,1008.0,
강원,철원,파프리카,1,005,2020-11-24,1008.0,
강원,철원,파프리카,1,005,2020-11-24,924.0,
강원,철원,파프리카,1,005,2020-11-25,1113.0,
강원,철원,파프리카,1,005,2020-11-26,1008.0,
강원,철원,파프리카,1,005,2020-11-26,1008.0,
강원,철원,파프리카,1,005,2020-11-27,472.5,
강원,철원,파프리카,1,006,2020-06-15,1260.0,
강원,철원,파프리카,1,006,2020-06-18,966.0,
